id,pokemon_ability_id,effect,language,short_effect
901,901,,,
902,902,,,
903,903,,,
904,904,,,
905,905,,,
906,906,,,
907,907,,,
908,908,,,
909,909,,,
910,910,,,
911,911,,,
912,912,,,
913,913,,,
914,914,,,
915,915,,,
916,916,,,
917,917,,,
918,918,,,
919,919,,,
920,920,,,
921,921,,,
922,922,,,
923,923,,,
924,924,,,
925,925,,,
926,926,,,
927,927,,,
928,928,,,
929,929,,,
930,930,,,
931,931,,,
932,932,,,
933,933,,,
934,934,,,
935,935,,,
936,936,,,
937,937,,,
938,938,,,
939,939,,,
940,940,,,
941,941,,,
942,942,,,
943,943,,,
944,944,,,
945,945,,,
946,946,,,
947,947,,,
948,948,,,
949,949,,,
950,950,,,
951,951,,,
952,952,,,
953,953,,,
954,954,,,
955,955,,,
956,956,,,
957,957,,,
958,958,,,
959,959,,,
960,960,,,
961,961,,,
962,962,,,
963,963,,,
964,964,,,
965,965,,,
966,966,,,
967,967,,,
968,968,,,
969,969,,,
970,970,,,
971,971,,,
972,972,,,
973,973,,,
974,974,,,
975,975,,,
976,976,,,
977,977,,,
978,978,,,
979,979,,,
980,980,,,
981,981,,,
982,982,,,
983,983,,,
984,984,,,
985,985,,,
986,986,,,
987,987,,,
988,988,,,
989,989,,,
990,990,,,
991,991,,,
992,992,,,
993,993,,,
994,994,,,
995,995,,,
996,996,,,
997,997,,,
998,998,,,
999,999,,,
1000,1000,,,
